senator_companies,BorrowerName,match_type,file_location,senator_full_name,asset,state,asset_cleaned,BorrowerAddress,BorrowerState,JobsReported,ForgivenessAmount,state_match,address_alligned_with_senators_companies
DOYON,DOYON REMOTE FACILITIES & SERVICES LLC,single,ppp_slices/file_01_100000.rds,daniel s sullivan,"Doyon
 Limited
 Description: Alaska Native Claims
 Settlement Act regional corporation (Fairbanks,
 AK)",AK,Doyon Limited,11500 C St Ste 150,AK,5,NA,TRUE,Yes
BAAN O YEEL KON,BAAN O YEEL KON CORPORATION,multiple,ppp_slices/file_01_100000.rds,daniel s sullivan,"Baan O Yeel
 Kon
 Description: Alaska Native Claims
 Settlement Act village corporation (Rampart, AK)",AK,"Baan O Yeel
  Kon",PO BOXPO Box 74381,AK,1,8251.9,TRUE,Yes
FITZ FRAMES,"FITZ FRAMES, INC",single,ppp_slices/file_01_500000.rds,ron l wyden,"Fitz Frames,
 Inc.
 Description: Custom eyeglass
 wear (Santa Monica, CA)",CA,"Fitz Frames,
  Inc.",212 26th St Suite 139,CA,5,98812.41,TRUE,Yes
PROMISE KEEPERS,PROMISE KEEPERS,single,ppp_slices/file_02_700000.rds,James P Lankford,"Promise Keepers
 Colorado Springs, Colorado",CO,Promise Keepers,"720 Elkton Dr, Ste 200",CO,12,135353.64,TRUE,Yes
RED SKY,RED SKY CONSULTING LLC,multiple,ppp_slices/file_02_700000.rds,rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",3015 Wyandot St,CO,1,100770.5,TRUE,Yes
RED SKY,RED SKY CONSULTING LLC,multiple,ppp_slices/file_02_700000.rds,rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",3015 Wyandot St,CO,6,NA,TRUE,Yes
RED SKY,RED SKY ROOFING INC,multiple,ppp_slices/file_02_700000.rds,rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",6858 Mentha Dr,CO,6,NA,TRUE,Yes
RED SKY,RED SKY ROOFING. INC.,single,ppp_slices/file_02_800000.rds,rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",4833 FRONT STREET,CO,6,45560.53,TRUE,Yes
RED SKY,RED SKY MANAGEMENT LLC,single,ppp_slices/file_02_900000.rds,rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",475 17th St Ste 544,CO,2,8388.19,TRUE,Yes
ROYAL POINCIANA,ROYAL POINCIANA CONDOMINIUM ASSOCIATION INC,single,ppp_slices/file_03_200000.rds,rick scott,"Refundable Club
 Deposit 1
 Company: Royal Poinciana (Naples,
 FL) Filer comment: Included for purposes of
 completeness.",FL,"Refundable Club
  Deposit 1
  Company: Royal Poinciana",1275 SW 46 Avenue,FL,5,60097.26,TRUE,Yes
NEW GEORGIA,"NEW GEORGIA BAPTIST CHURCH, INC.",single,ppp_slices/file_04_200000.rds,Raphael Warnock,"New Georgia Project
 Atlanta, GA",GA,New Georgia Project,6092 Mulberry Rock Rd,GA,20,58675.57,TRUE,Yes
GEORGIA INTERFAITH,GEORGIA INTERFAITH POWER & LIGHT INC.,single,ppp_slices/file_04_200000.rds,Raphael Warnock,"Georgia Interfaith Public Policy Center, Inc.
 Atlanta, GA",GA,"Georgia Interfaith Public Policy Center, Inc.",701 S Columbia Dr # 326,GA,4,29602.68,TRUE,NA
EBENEZER BAPTIST CHURCH,EBENEZER BAPTIST CHURCH WEST INC,single,ppp_slices/file_04_200000.rds,Raphael Warnock,"Ebenezer Baptist Church
 Atlanta, GA",GA,Ebenezer Baptist Church,205 N CHASE ST,GA,15,58363.73,TRUE,Yes
MARTIN LUTHER KING,MARTIN LUTHER KING SR. COMMUNITY RESOURCES COLLABORATIVE,single,ppp_slices/file_04_300000.rds,Raphael Warnock,"Martin Luther King, Sr. Resources Collaborative
 Atlanta, GA",GA,"Martin Luther King, Sr. Resources Collaborative",101 Jackson St. NE,GA,1,21016.45,TRUE,Yes
OSHIMA & ITOMURA,OSHIMA & ITOMURA ATTORNEYS AT LAW A LAW CORPORATION,single,ppp_slices/file_04_700000.rds,mazie k hirono,"Oshima &
 Itomura, AAL, ALC
 
 Description: Law Firm (Honolulu,
 HI)",HI,"Oshima &
  Itomura, AAL, ALC",841 Bishop Street,HI,6,96013.33,TRUE,Yes
CHURCHILL COFFEE,"CHURCHILL COFFEE COMPANY, LLC",single,ppp_slices/file_07_300000.rds,roy blunt,"Churchill Coffee
 LTD Springfield MO
 Company: Churchill Coffee LTD
 Springfield MO (Springfield,
 MO) Description: Roaster and Retailer of
 Coffee",MO,"Churchill Coffee
  LTD Springfield MO","3119 S Scenic Ave, Ste A",MO,8,41769.15,TRUE,Yes
SHAHEEN,SHAHEEN ENTERPRISES LLC,single,ppp_slices/file_08_200000.rds,jeanne shaheen,"Shaheen
 Enterprises, LLC
 
 Company: Shaheen Enterprises, LLC
 (Dover, NH) Description: Holding company of
 NH",NH,"Shaheen
  Enterprises, LLC",148 AMHERST ST,NH,1,11837.15,TRUE,NA
THE SALON,THE SALON AT 903 CENTRAL LLC,multiple,ppp_slices/file_08_200000.rds,jeanne shaheen,"The Salon,
 LLC
 Company: The Salon, LLC (Dover,
 NH) Description: Beauty salon Filer
 comment: Shaheen Enterprises, LLC has a 1/2 interest in The
 Salon. Sold below the reporting threshold on 12/31/2020.",NH,"The Salon,
  LLC",903 Central Ave,NH,7,32247.27,TRUE,Yes
