senator_full_name,asset,state,asset_cleaned
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
 Permanent Fund"
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
 Permanent Fund"
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
 Permanent Fund"
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
 Permanent Fund"
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)",AK,"State of Alaska
 Permanent Fund"
daniel s sullivan,"Baan O Yeel
Kon
Description: Alaska Native Claims
Settlement Act village corporation (Rampart, AK)",AK,"Baan O Yeel
 Kon"
daniel s sullivan,"Doyon
Limited
Description: Alaska Native Claims
Settlement Act regional corporation (Fairbanks,
AK)",AK,"Doyon
 Limited"
w. mitt romney,"Promissory Note
with ACR Enterprises Inc
Company: ACR Enterprises Inc (Moorpark,
CA)",California,"Promissory Note
 with ACR Enterprises Inc"
w. mitt romney,"8621 Georgia
Associates LLC

Company: 8621 Georgia Associates LLC
(Potomac, MD) Description: Real
Estate",MD,"8621 Georgia
 Associates LLC"
w. mitt romney,"Vantage 2
LLC
Company: Vantage 2 LLC (Moorpark,
CA) Description: Horses/Horse
Breeding",CA,"Vantage 2
 LLC"
w. mitt romney,"Rob Rom
LLC
Company: Rob Rom LLC (Moorpark,
CA) Description: Horses/Horse
Breeding",CA,"Rob Rom
 LLC"
james e risch,"40+ Acres Land,
Ada County, ID
Description: Currently Operated as Farm
and Ranch Land (Ada County, ID)",ID,"40+ Acres Land,"
james e risch,"40 +/- Acres Land,
Canyon County, ID
Description: Currently Operated as Farm
and Ranch Land (Canyon County, ID)",ID,"40 +/- Acres Land,"
james e risch,"160 +/- Acres
Land, Ada County, ID
Description: Currently Operated as Farm
and Ranch Land (Ada County, ID)",ID,"160 +/- Acres
 Land"
james e risch,"Capital City
Management LLC (5400 South Cole Road, Boise, ID 83709)

Company: Capital City Management LLC
(Boise, ID) Description: Real Estate Holding
Company",ID,"Capital City
 Management LLC (5400 South Cole Road, Boise, ID 83709)"
james e risch,"JR & JR
Properties LLC

Company: JR & JR Properties LLC
(Boise, ID) Description: Real estate
holding.",ID,"JR & JR
 Properties LLC"
james e risch,"Notes owed by
Risch for Lt. Gov. Committees Resulting from 2002 Primary Election
Campaign, Boise, ID
Company: Risch for Lt. Gov. Committees
(Boise, ID)",ID,"Notes owed by
 Risch for Lt. Gov. Committees Resulting from 2002 Primary Election
 Campaign, Boise, ID"
james e risch,"Notes Owed by
American Trailer Sales Co.
Company: American Trailer Sales Co.
(Boise, ID)",ID,"Notes Owed by
 American Trailer Sales Co."
james e risch,"Black Angus Farms
LLC

Company: Black Angus Farms (Boise,
Idaho) Description: Farming, ranching, property
holding company",ID,"Black Angus Farms
 LLC"
rafael e cruz,"Loan to Ted Cruz
for Senate
Company: Ted Cruz for Senate (Austin,
Texas)",TX,"Loan to Ted Cruz
 for Senate"
raymond j tester,"Farmland
Description: Family Farm Land (Big
Sandy, MT)",MT,Farmland
raymond j tester,"T-Bone Farms,
Inc.
Description: Farm Equipment and House
(Big Sandy, MT)",MT,"T-Bone Farms,
 Inc."
rick scott,"Refundable Club
Deposit 1
Company: Royal Poinciana (Naples,
FL) Filer comment: Included for purposes of
completeness.",FL,"Refundable Club
 Deposit 1
 Company: Royal Poinciana"
rick scott,"Refundable Club
Deposit 2
Company: Red Sky (Wolcott,
CO) Filer comment: Included for purposes of
completeness.",CO,"Refundable Club
 Deposit 2
 Red Sky"
rick scott,"Promissory
Note
Company: Pharmaca Investments, LLC
(Rowayton, CT)",CT,"Promissory
 Note"
rick scott,"Account Receivable
from AG Super Fund, L.P.
Company: AG Super Fund, L.P. (New York,
NY) Filer comment: Income includes amount due
received during period",NY,"Account Receivable
 from AG Super Fund, L.P."
