senator_full_name,asset
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)"
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)"
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)"
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)"
daniel s sullivan,"State of Alaska
Permanent Fund
Description: State Fund Managed by
Alaska Permanent Fund Corp. (Juneau, AK)"
daniel s sullivan,"Baan O Yeel
Kon
Description: Alaska Native Claims
Settlement Act village corporation (Rampart, AK)"
daniel s sullivan,"Doyon
Limited
Description: Alaska Native Claims
Settlement Act regional corporation (Fairbanks,
AK)"
w. mitt romney,"Promissory Note
with ACR Enterprises Inc
Company: ACR Enterprises Inc (Moorpark,
CA)"
w. mitt romney,"8621 Georgia
Associates LLC

Company: 8621 Georgia Associates LLC
(Potomac, MD) Description: Real
Estate"
w. mitt romney,"Vantage 2
LLC
Company: Vantage 2 LLC (Moorpark,
CA) Description: Horses/Horse
Breeding"
w. mitt romney,"Rob Rom
LLC
Company: Rob Rom LLC (Moorpark,
CA) Description: Horses/Horse
Breeding"
james e risch,"40+ Acres Land,
Ada County, ID
Description: Currently Operated as Farm
and Ranch Land (Ada County, ID)"
james e risch,"40 +/- Acres Land,
Canyon County, ID
Description: Currently Operated as Farm
and Ranch Land (Canyon County, ID)"
james e risch,"160 +/- Acres
Land, Ada County, ID
Description: Currently Operated as Farm
and Ranch Land (Ada County, ID)"
james e risch,"Capital City
Management LLC (5400 South Cole Road, Boise, ID 83709)

Company: Capital City Management LLC
(Boise, ID) Description: Real Estate Holding
Company"
james e risch,"JR & JR
Properties LLC

Company: JR & JR Properties LLC
(Boise, ID) Description: Real estate
holding."
james e risch,"Notes owed by
Risch for Lt. Gov. Committees Resulting from 2002 Primary Election
Campaign, Boise, ID
Company: Risch for Lt. Gov. Committees
(Boise, ID)"
james e risch,"Notes Owed by
American Trailer Sales Co.
Company: American Trailer Sales Co.
(Boise, ID)"
james e risch,"Black Angus Farms
LLC

Company: Black Angus Farms (Boise,
Idaho) Description: Farming, ranching, property
holding company"
rafael e cruz,"Loan to Ted Cruz
for Senate
Company: Ted Cruz for Senate (Austin,
Texas)"
raymond j tester,"Farmland
Description: Family Farm Land (Big
Sandy, MT)"
raymond j tester,"T-Bone Farms,
Inc.
Description: Farm Equipment and House
(Big Sandy, MT)"
rick scott,"Refundable Club
Deposit 1
Company: Royal Poinciana (Naples,
FL) Filer comment: Included for purposes of
completeness."
rick scott,"Refundable Club
Deposit 2
Company: Red Sky (Wolcott,
CO) Filer comment: Included for purposes of
completeness."
rick scott,"Promissory
Note
Company: Pharmaca Investments, LLC
(Rowayton, CT)"
rick scott,"Account Receivable
from AG Super Fund, L.P.
Company: AG Super Fund, L.P. (New York,
NY) Filer comment: Income includes amount due
received during period"
