senator_full_name,asset
rafael e cruz,"Goldman Sachs and CoJersey City, NJ"
michael s lee,"Self EmployedProvo, UT"
raymond j tester,"T-Bone Farms, Inc.Big Sandy, MT"
raymond j tester,"T-Bone Farms, Inc.Big Sandy, MT"
mazie k hirono,"Oshima, Itomura & Fujimoto, AAL, ALCHONOLULU, HAWAII"
raphael warnock,"Ebenezer Baptist ChurchAtlanta, GA"
raphael warnock,"Grain CapitalSarasota, FL"
raphael warnock,"Syracuse UniversitySyracuse, NY"
raphael warnock,"Mt. Ennon Baptist Church TWBClinton, MD"
"william f hagerty, iv","Hall Capital Management Co, LLCOklahoma City, Oklahoma"
"william f hagerty, iv","Fred Jones Enterprises LLCOklahoma City, Oklahoma"
"william f hagerty, iv","RJ O'Brien and AssociatesChicago, IL"
brian e schatz,"Schatz Collaborative LLCHonolulu, HI"
patrick j toomey,"St Thomas More ParishAllentown, PA"
john n kennedy,"22nd Judicial District CourtCovington, LA"
christopher murphy,"Education CounselWashington, DC"
maggie hassan,"School Year Abroad, Inc.North Andover, MA"
rand paul,"The Strategy Group for Media IncDelaware, OH"
marsha blackburn,"Strategic Sales Tactics IncBrentwood, TN"
catherine cortez masto,"Universal Security SpecialistsLas Vegas, Nevada"
sheldon whitehouse,"Ocean ConservancyWashington, DC"
sheldon whitehouse,"Atlantic CouncilWashington, DC"
jeanne shaheen,"Shaheen & GordonDover, NH"
jeanne shaheen,"Emerald Group LLCMadbury, NH"
mike braun,"Finishing TouchesJasper, IN"
ron l wyden,"Bass Book Trading, IncNew York, NY"
ron l wyden,"Bass Real Estate LLCNew York, NY"
ron l wyden,"Strand Book Store IncNew York, NY"
tom cotton,"Hillsdale CollegeHillsdale, MI"
tom cotton,"SLG SolutionsMcLean, Virginia"
cindy hyde-smith,"MATHIS FARMS, INCBROOKHAVEN, MS"
cindy hyde-smith,"LINCOLN COUNTY LIVESTOCKBROOKHAVEN, MS"
thomas r tillis,"Allen Tate RealtorsCornelius, NC"
charles e grassley,"Chambers, Conlon & HartwellWashington, DC"
john w hickenlooper,"Liberty Media CorporationEnglewood, CO"
john w hickenlooper,"Chipotle Mexican Grill, Inc.Newport Beach, CA"
john w hickenlooper,"GCI Liberty Inc.Englewood, CO"
john w hickenlooper,"Qurate Retail Inc.West Chester, PA"
john w hickenlooper,"Liberty Broadband CorporationEnglewood, CO"
john w hickenlooper,"Liberty TripAdvisor Holdings, Inc.Englewood, CO"
roy blunt,"The Kraft Heinz CompanyWashington, DC"
roy blunt,"Ardagh Group SALuxembourg, Luxembourg"
sherrod brown,"Kent State UniversityKent, OH"
"robert p casey, jr","Drexel UniversityPhiladelphia, PA"
joshua d hawley,"Independent Women's ForumWashington, DC"
joshua d hawley,"Kirkland & EllisWashington, DC"
joshua d hawley,"Curators of the University of MissouriColumbia, MO"
joshua d hawley,"Guidepoint GlobalNew York, NY"
michael f bennet,"University of Denver Law SchoolDenver, CO"
thomas j ossoff,"Emory HealthcareAtlanta, GA"
ladda tammy duckworth,"Foxhole Technology IncFairfax, VA"
todd young,"Tucker & Tucker, PCBloomingtin, IN"
todd young,"Bloomington Shuttle ServiceBloomington, IN"
james p lankford,"Speech Language Pathology ServicesEdmond, OK"
james p lankford,"Quail Springs Baptist ChurchOklahoma City, OK"
james p lankford,"Gateway Community ChurchEdmond, OK"
james p lankford,"First East Baptist ChurchLawton, OK"
james p lankford,"First Baptist ChurchEl Reno, OK"
james p lankford,"Trinity Baptist ChurchYukon, OK"
james p lankford,"Seward Road Baptist ChurchGuthrie, OK"
gary c peters,"Meaningful Impact Consulting LLCBloomfield Twp, MI"
steve daines,"U.S. SenateWashington, DC"
martin heinrich,"Powell TateWashington, DC"
martin heinrich,"Meow Wolf, Inc.Santa Fe, NM"
michael d crapo,"Crapo Victory CommitteeWashington, DC"
john r thune,"SanfordSioux Falls, SD"
jeffrey a merkley,"Eye Health NWHappy Valley, OR"
jeffrey a merkley,"Providence HospitalPortland, OR"
elizabeth warren,"Harvard UniversityCambridge, MA"
roger f wicker,"Vision to LearnLos Angeles, CA"
debra s fischer,"Sunny Slope Ranch, IncValentine, NE"
amy j klobuchar,"State of Maryland (University of Baltimore)Annapolis, MD"
amy j klobuchar,"Georgetown UniversityWashington, DC"
"angus s king, jr","MAINE DEPT OF EDUCATIONAUGUSTA, ME"
charles e schumer,"US SenateWashington, DC"
charles e schumer,"The New York Public LibraryNew York, NY"
marco rubio,"Florida International UniversityMiami, FL"
marco rubio,"JDR EventsMiami, FL"
kyrsten sinema,"Three Sticks WinerySonoma, CA"
kevin j cramer,"Cramer For CongressBismarck, ND"
cynthia m lummis,"Lummis Livestock CompanyCheyenne, WY"
