senator_full_name,asset
Daniel S Sullivan,"Thomas C. and Sandra S. Sullivan Foundation
Cleveland, OH"
Daniel S Sullivan,"MARSOC
Camp Legeune, NC"
Daniel S Sullivan,"International Republican Institute
Washington, DC"
W. Mitt Romney,"Romney Grandchildren, LLC
Wilmington, DE"
W. Mitt Romney,"Romney Children, LLC
Wilmington, DE"
W. Mitt Romney,"Ann Romney Center for Neurologic Diseases
Boston, MA"
W. Mitt Romney,"Kem C. Gardner Policy Institute at the University of Utah
Salt Lake City, UT"
W. Mitt Romney,"International Republican Institute
Washington, DC"
James E Risch,"JR & JR Properties LLC
Boise , ID"
James E Risch,"RFAM Limited Partnership
Boise, ID"
James E Risch,"Black Angus Farms LLC
Boise, ID"
Raymond J Tester,"T-Bone Farms, Inc.
Big Sandy, MT"
Raphael Warnock,"New Georgia Project
Atlanta, GA"
Raphael Warnock,"Martin Luther King, Sr. Resources Collaborative
Atlanta, GA"
Raphael Warnock,"Martin Luther King, Sr. Resources Collaborative
Atlanta, GA"
Raphael Warnock,"Georgia Interfaith Public Policy Center, Inc.
Atlanta, GA"
Raphael Warnock,"GeorgiaALIVE
Atlanta, GA"
Raphael Warnock,"Ebenezer Baptist Church
Atlanta, GA"
Mark E Kelly,"El Campo Center LLC
Tucson, AZ"
Mark E Kelly,"Kelly Aerospace Consulting LLC
Tucson, AZ"
Mark E Kelly,"Lightspeed Partners LLC
Tucson, AZ"
"William F Hagerty, IV","Roundstone Ventures, LLC
Nashville, TN"
"William F Hagerty, IV","Main Street Management
Nashville, TN"
"William F Hagerty, IV","Hall Capital Management Co
Oklahoma City, Oklahoma"
"William F Hagerty, IV","Fred Jones Enterprises
Oklahoma City, Oklahoma"
"William F Hagerty, IV","Hagerty Consulting
Nashville, TN"
"William F Hagerty, IV","R J O'Brien and Associates, LLC
Chicago, IL"
Mark R Warner,"Collis Warner Foundation
Alexandria, VA"
Mark R Warner,"The Kennedy Center
Washington, DC"
Roger W Marshall,"LVMC, Inc.
Great Bend, KS"
Roger W Marshall,"Rattlesnake Ranch, Inc.
Great Bend, KS"
Roger W Marshall,"Quivira Ranch, Inc.
Great Bend, KS"
Patrick J Toomey,"Old Mill Partners
Allentown, PA"
Patrick J Toomey,"N-35727, Inc.
Allentown, PA"
John N Kennedy,"John Neely Kennedy APLC
Madisonville, Louisiana"
John N Kennedy,"First Louisiana Investment Properties, LLC
Madisonville, Louisiana"
John N Kennedy,"The Oxvirvand Corporation
Madisonville, Louisiana"
John N Kennedy,"The Presken Corporation
Madisonville, Louisiana"
