"","filed_date","report_id","report_title","report_url","senator_full_name","senator_first_name","senator_last_name","v1","number","transaction_date","owner","ticker","asset_name","type","amount","comment","transaction_type","data"
"1","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"1","02/27/2020","Joint","RPM","RPM International Inc.","Sale (Partial)","$50,001 - $100,000","The filer's portfolio is managed by a third party investment
professional. The filer was advised of these transactions on April
7, 2020. This activity is part of an ongoing long-term portfolio
diversification strategy that regularly includes similar
transactions.",NA,NA
"2","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"2","02/27/2020","Joint","WCMIX","WCM Focused International Growth Fund Institutiona","Purchase","$50,001 - $100,000","The filer's portfolio is managed by a third party investment
professional. The filer was advised of these transactions on April
7, 2020. This activity is part of an ongoing long-term portfolio
diversification strategy that regularly includes similar
transactions.",NA,NA
"3","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"3","05/18/2020","Joint","RPM","RPM International Inc.","Sale (Partial)","$50,001 - $100,000","The filer's portfolio is managed by a third party investment
professional. The filer was advised of these transactions on June
2, 2020. This activity is part of an ongoing long-term portfolio
diversification strategy that regularly includes similar
transactions.",NA,NA
"4","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"4","06/16/2020","Joint","RPM","RPM International Inc.","Sale (Partial)","$50,001 - $100,000","The filer's portfolio is managed by a third party investment
professional. The filer was advised of these transactions on July
7, 2020. This activity is part of an ongoing long term portfolio
diversification strategy that regularly includes similar
transactions.",NA,NA
"5","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"1","03/03/2020","Self","IJR","iShares Core S&P Small-Cap ETF",NA,"$1,001 - $15,000","--","Purchase",NA
"6","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"2","03/04/2020","Self","POLIX","Polen Growth Fund Institutional Class",NA,"$1,001 - $15,000","--","Purchase",NA
"7","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"3","03/04/2020","Self","WCMIX","WCM Focused International Growth Fund Institutiona",NA,"$1,001 - $15,000","--","Purchase",NA
"8","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"4","03/04/2020","Self","GTCSX","Glenmede Small Cap Equity Portfolio Class Advisor",NA,"$1,001 - $15,000","--","Sale (Full)",NA
"9","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"5","03/04/2020","Self","HNACX","Harbor Capital Appreciation Fund Retirement Class",NA,"$1,001 - $15,000","--","Sale (Full)",NA
"10","2021-08-16","7567775a-9f88-42a7-b906-68a4449865a5","Annual Report for CY 2020","https://sec.report/Senate-Stock-Disclosures/Sullivan/Daniel+S/7567775a-9f88-42a7-b906-68a4449865a5","Daniel S Sullivan","Daniel+S","Sullivan",NA,"6","02/07/2020","Child","ABCIX","American Beacon The London Company Income Equity F",NA,"$1,001 - $15,000","--","Purchase",NA
