senator_companies,BorrowerName,match_type,file_location,senator_full_name,asset,state,asset_cleaned,BorrowerAddress,BorrowerState,JobsReported,ForgivenessAmount,state_match
DOYON,DOYON REMOTE FACILITIES & SERVICES LLC,single,ppp_slices/file_01_100000.rds,daniel s sullivan,"Doyon
 Limited
 Description: Alaska Native Claims
 Settlement Act regional corporation (Fairbanks,
 AK)",AK,Doyon Limited,11500 C St Ste 150,AK,5,NA,TRUE
BAAN O YEEL KON,BAAN O YEEL KON CORPORATION,multiple,ppp_slices/file_01_100000.rds,daniel s sullivan,"Baan O Yeel
 Kon
 Description: Alaska Native Claims
 Settlement Act village corporation (Rampart, AK)",AK,"Baan O Yeel
  Kon",529 6th Ave Ste 202,AK,1,NA,TRUE
BAAN O YEEL KON,BAAN O YEEL KON CORPORATION,multiple,ppp_slices/file_01_100000.rds,daniel s sullivan,"Baan O Yeel
 Kon
 Description: Alaska Native Claims
 Settlement Act village corporation (Rampart, AK)",AK,"Baan O Yeel
  Kon",PO BOXPO Box 74381,AK,1,8251.9,TRUE
PICACHO,PICACHO PEAK CONSTRUCTION LLC,multiple,ppp_slices/file_01_400000.rds,ron johnson,"Orchard at
 Picacho, LLC (0.73% Ownership Interest)
 Company: Orchard at Picacho, LLC
 (Picacho, AZ) Description: Land
 Development",AZ,"Orchard at
  Picacho, LLC",2925 E Riggs Rd,AZ,2,41947.82,TRUE
PICACHO,"PICACHO CONCRETE STRUCTURES, LLC",multiple,ppp_slices/file_01_400000.rds,ron johnson,"Orchard at
 Picacho, LLC (0.73% Ownership Interest)
 Company: Orchard at Picacho, LLC
 (Picacho, AZ) Description: Land
 Development",AZ,"Orchard at
  Picacho, LLC",4619 E Pinto Dr,AZ,4,22207.93,TRUE
FITZ FRAMES,"FITZ FRAMES, INC",single,ppp_slices/file_01_500000.rds,ron l wyden,"Fitz Frames,
 Inc.
 Description: Custom eyeglass
 wear (Santa Monica, CA)",CA,"Fitz Frames,
  Inc.",212 26th St Suite 139,CA,5,98812.41,TRUE
PROMISE KEEPERS,PROMISE KEEPERS,single,ppp_slices/file_02_700000.rds,James P Lankford,"Promise Keepers
 Colorado Springs, Colorado",CO,Promise Keepers,"720 Elkton Dr, Ste 200",CO,12,135353.64,TRUE
RED SKY,RED SKY CONSULTING LLC,multiple,ppp_slices/file_02_700000.rds,rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",3015 Wyandot St,CO,1,100770.5,TRUE
RED SKY,RED SKY CONSULTING LLC,multiple,ppp_slices/file_02_700000.rds,rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",3015 Wyandot St,CO,6,NA,TRUE
RED SKY,RED SKY ROOFING INC,multiple,ppp_slices/file_02_700000.rds,rick scott,"Refundable Club
 Deposit 2
 Company: Red Sky (Wolcott,
 CO) Filer comment: Included for purposes of
 completeness.",CO,"Refundable Club
  Deposit 2
  Red Sky",6858 Mentha Dr,CO,6,NA,TRUE
