"","senator_companies","senator_ownership","match_id","ppp_borrowers","ppp_data_slice_file"
"1","DOYON","daniel s sullivan",2157,"DOYON REMOTE FACILITIES & SERVICES LLC","file_a"
"2","BLACK ANGUS","James E Risch",7288,"BLACK ANGUS LLC","file_a"
"3","EBENEZER BAPTIST CHURCH","Raphael Warnock",44212,"EBENEZER BAPTIST CHURCH","file_a"
"4","FIRST BAPTIST CHURCH","james p lankford",14002,"FIRST BAPTIST CHURCH","file_a"
"5","TRINITY BAPTIST CHURCH","james p lankford",25346,"TRINITY BAPTIST CHURCH OF MADISON, LLC","file_a"
"6","MAINSTREET","william f hagerty, iv",97078,"MAINSTREET CONSTRUCTION LLC","file_a"
"7","A&P","joseph manchin, iii",66456,"A&P SWISS PRECISION LLC","file_a"
"8","RED SKY","rick scott",8711,"RED SKYE FARM LLC","file_a"
"9","MAINSTREET","william f hagerty, iv",3299,"MAINSTREET229 LLC","file_a"
"10","ALCHEMY","rand paul",66062,"ALCHEMY LLC","file_a"
"11","TRELA","jeanne shaheen",98139,"TRELAINE HOUSE OF LOVE INC","file_a"
"12","STRAND","ron l wyden",42164,"STRANDZZ LLC","file_a"
"13","A&P","joseph manchin, iii",15433,"A&P HOME SERVICES LLC","file_a"
"14","FIRST BAPTIST CHURCH","james p lankford",75833,"FIRST BAPTIST CHURCH","file_a"
"15","RED SKY","rick scott",12233,"RED SKY LOGISTICS, INC.","file_a"
"16","NOKOMIS","rick scott",63700,"NOKOMIS BEACH BAIT & TACKLE LLC","file_a"
"17","PATRIOT FINANCIAL","patrick j toomey",49545,"PATRIOT FINANCIAL SERVICES, LLC","file_a"
"18","ALCHEMY","rand paul",45096,"ALCHEMY CREATIVE","file_a"
"19","SHAHEEN","jeanne shaheen",7784,"SHAHEEN NASIR","file_a"
"20","A&P","joseph manchin, iii",5969,"A&P REGAL NAILS LLC","file_a"
"21","SCHATZ","brian e schatz",39647,"SCHATZI C. LLC","file_a"
"22","FIRST BAPTIST CHURCH","james p lankford",15948,"FIRST BAPTIST CHURCH OF HERNANDO","file_a"
"23","ALCHEMY","rand paul",97352,"ALCHEMY FINANCIAL GROUP LLC","file_a"
"24","THE SALON","jeanne shaheen",75655,"THE SALON LTD.","file_a"
"25","MARTIN LUTHER KING","Raphael Warnock",30537,"MARTIN LUTHER KING JR. CENTER, INC.","file_a"
"26","FIRST BAPTIST CHURCH","james p lankford",37309,"FIRST BAPTIST CHURCH","file_a"
"27","SANFORD","john r thune",84037,"SANFORD STEIN","file_a"
"28","TCS","christopher a coons",68831,"TCS TRANSPORT, LLC","file_a"
"29","HAGERTY CONSULTING","William F Hagerty, IV",36469,"HAGERTY CONSULTING LLC","file_a"
"30","MATHIS FARMS","cindy hyde-smith",15127,"MATHIS FARMS CUSTOM HIRE LLC","file_a"
"31","FIRST BAPTIST CHURCH","james p lankford",3705,"FIRST BAPTIST CHURCH","file_a"
"32","REVIVAL","mark r warner",1580,"REVIVAL HAIR STUDIO L L C","file_a"
"33","ALCHEMY","rand paul",69511,"ALCHEMY","file_a"
"34","SYMCO","sheldon whitehouse",58032,"SYMCO CONSTRUCTION LLC","file_a"
"35","TRELA","jeanne shaheen",55167,"TRELAJ FINANCIAL LLC","file_a"
"36","GATEWAY COMMUNITY CHURCH","james p lankford",6602,"GATEWAY COMMUNITY CHURCH OF ONSTED","file_a"
"37","FIRST BAPTIST CHURCH","james p lankford",6944,"FIRST BAPTIST CHURCH","file_a"
"38","THE SALON","jeanne shaheen",40870,"THE SALON FOR HAIR BODY AND SOUL","file_a"
"39","TCS","christopher a coons",61538,"TCS CONSTRUCTION","file_a"
"40","SCHATZ","brian e schatz",32253,"SCHATZIE'S HAULING, LLC","file_a"
"41","FIRST BAPTIST CHURCH","james p lankford",41165,"FIRST BAPTIST CHURCH","file_a"
"42","STRAND","ron l wyden",74813,"STRANDS STUDIO","file_a"
"43","NOVITA","mike rounds",39251,"NOVITA HOME FURNISHINGS INC","file_a"
"44","FIRST BAPTIST CHURCH","james p lankford",71885,"FIRST BAPTIST CHURCH","file_a"
"45","TRINITY BAPTIST CHURCH","james p lankford",77390,"TRINITY BAPTIST CHURCH","file_a"
"46","PHARMACA","rick scott",46793,"PHARMACADENCE ANALYTICAL SERVICES LLC","file_a"
"47","RIVERTOWN","tim scott",38750,"RIVERTOWNE ADVISORS, LLC","file_a"
"48","ROSEN FAMILY","jacklyn s rosen",76055,"ROSEN FAMILY LAW GROUP LLC","file_a"
"49","MAIN STREET MANAGEMENT","William F Hagerty, IV",90947,"MAIN STREET MANAGEMENT, LLC","file_a"
"50","SCHATZ","brian e schatz",4703,"SCHATZ PRETZEL LLC","file_a"
"51","GREENWAVE","john n kennedy",61555,"GREENWAVE FOODS INC","file_a"
"52","SYMCO","sheldon whitehouse",28286,"SYMCO STRUCTURAL INC","file_a"
"53","SHAHEEN","jeanne shaheen",6210,"SHAHEEN,NOOR AND FARINA LLC","file_a"
"54","BIRD DOG","mike rounds",44286,"BIRD DOG MARKETING, LP","file_a"
"55","FIRST BAPTIST CHURCH","james p lankford",17219,"FIRST BAPTIST CHURCH","file_a"
"56","TRINITY BAPTIST CHURCH","james p lankford",67565,"TRINITY BAPTIST CHURCH","file_a"
"57","RED SKY","rick scott",27880,"RED SKY YACHTS, LLC","file_a"
"58","GREENWAVE","john n kennedy",5727,"GREENWAVE PHARMACY, INC.","file_a"
"59","RIVERTOWN","tim scott",97378,"RIVERTOWN LUMBER COMPANY LLC","file_a"
"60","EBENEZER BAPTIST CHURCH","Raphael Warnock",51984,"EBENEZER BAPTIST CHURCH","file_a"
"61","GATEWAY COMMUNITY CHURCH","james p lankford",3769,"GATEWAY COMMUNITY CHURCH","file_a"
"62","FIRST BAPTIST CHURCH","james p lankford",5154,"FIRST BAPTIST CHURCH","file_a"
"63","TRINITY BAPTIST CHURCH","james p lankford",8173,"TRINITY BAPTIST CHURCH","file_a"
"64","REVIVAL","mark r warner",30764,"REVIVAL SCOTTSDALE LP","file_a"
"65","ALCHEMY","rand paul",85271,"ALCHEMY DATA CENTER LLC","file_a"
"66","THE SALON","jeanne shaheen",7635,"THE SALON CENTER LLC","file_a"
"67","RIVERTOWN","tim scott",94067,"RIVERTOWN FEED & PET COUNTRY STORE, INC.","file_a"
"68","A&P","joseph manchin, iii",68760,"A&P DEVELOPMENT & CONSTRUCTION INC.","file_a"
"69","KELLY AEROSPACE","Mark E Kelly",5009,"KELLY AEROSPACE ENERGY SYSTEMS LLC","file_a"
"70","GENESIS PARTNERS","Steve Daines",14149,"GENESIS PARTNERS LLC","file_a"
"71","KIRKLAND","joshua d hawley",9198,"KIRKLAND WRECKER SERVICE, LLC","file_a"
"72","FIRST BAPTIST CHURCH","james p lankford",5723,"FIRST BAPTIST CHURCH","file_a"
"73","TRINITY BAPTIST CHURCH","james p lankford",95835,"TRINITY BAPTIST CHURCH OF SANTA BARBARA","file_a"
"74","VISION TO LEARN","roger f wicker",50159,"VISION TO LEARN","file_a"
