"","senator_full_name","asset","state","BorrowerName.x","BorrowerName.y"
"1","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJH LLC"
"2","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJK, LLC"
"3","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJC LLC"
"4","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","US 3 LLC"
"5","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","SJA3 LLC"
"6","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","NAJ & LLC"
"7","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","ASJ 1 LLC"
"8","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJAY LLC"
"9","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJH LLC"
"10","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJK, LLC"
"11","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJC LLC"
"12","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","US 3 LLC"
"13","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","SJA3 LLC"
"14","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","NAJ & LLC"
"15","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","ASJ 1 LLC"
"16","rick scott","AJ 3 LLC

Company: AJ 3 LLC (New York,
NY) Description: Investment holding
company","NY","AJ 3 LLC","AJAY LLC"
"17","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","AMS, LLC"
"18","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MESH LLC"
"19","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","GSG LLC"
"20","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MSR LLC"
"21","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","OMS LLC"
"22","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMRT LLC"
"23","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","SMEG LLC"
"24","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EMV LLC"
"25","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MSG LLC"
"26","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","CMNG LLC"
"27","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","MGS LLC"
"28","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","CEMS LLC"
"29","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","REMG LLC"
"30","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","ESM LLC"
"31","mark r warner","EMSG LLC
Company: EMSG LLC (Rockville,
MD) Description: Secured Debt","MD","EMSG LLC","EHSK LLC"
